,ML4550,1101046807,307,10.75.39.171,4966B1AB100002N,001599476b76
,ML4550,NA,,10.75.39.179,4966B1AS900237H,001599476ba1
,M4020,41430202010491,108,10.75.39.186,ZDP2BJCF70000VD,30cda72ec506
,M4020,41430202010486,341,10.75.39.178,ZDP2BJCF70008BY,30cda7305dce 
,ML4550,NA,341,10.75.39.176,4966B1AS900262L,0
,ML4550,1101046805,201,10.75.39.170,4966B1AS900160T,001599475d10
,ML4550,NA,207,10.75.39.180,4966B1AS900250T,001599476c54 
,ML3750,NA,NA,10.75.39.189,Z78VBJBC70028MJ,001599a9d763
,ML3750,NA,NA,10.75.39.184,Z78VBJBC70009NL,001599a9915f
,M4020,NA,NA,10.75.39.190,ZDP2BJCF70000QZ,30cda72ec509
,M4020,NA,226,10.75.39.188,ZDP2BJCF70001SK,30cda72ec49d
,M4020,NA,NA,10.75.39.185,ZDP2BJCF70006PZ,30cda7305de2
,ML3750,NA,NA,10.75.39.168,Z78VBJBC7001DNZ,001599a99f23
,ML3710,NA,NA,10.75.39.187,Z5LSBAGB902017T,00159990307a
,KXMB2000,NA,346,10.75.39.175,NA,0080f0199595
,FS1920,NA,NA,10.75.39.163,VLB4320682,00c0eed57a00
,ML3710,NA,NA,10.75.39.174,Z5LSBABB904050H,0015998ec455
,ML3710,NA,NA,10.75.39.165,Z5LSBAGB902033N,001599902f3b
,FS1920,NA,NA,10.75.39.164,ALB4527764,00c0eed6d748
,FS1920,NA,NA,10.75.39.155,ALB4529280,00c0eed6d829
,FS1920,NA,NA,10.75.39.192,ALB4633554,00c0eed57967
,FS1920,NA,NA,10.75.42.26,ALB4632977,00c0eed57fc8
,FS1920,1362448,207,10.75.39.181,ALB4216938,00c0eed586fe
,ML3560,1101046304,307,10.75.39.172,ЗЕ66В1АLА00228J,00159903ca3b
,MK4020,41430202010495,236,10.75.39.193,ZDP2BJCF70000GJ,30cda72ec4d7
,ML3560,1101046299,207,10.75.39.194,ЗЕ66В1АLА00137Н,00159903eb24
,ML3560,1101046285,201,10.75.39.162,ЗЕ66В1ОL900002Y,001599036c37
,ML3560,1101046290,301,10.75.39.191,ЗЕ66В1АLА00154Y,00159903eb65
